epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8119,1.17657,2.36345,1.55172,0.39236,0.51152,0.42826,0.23057,1.42345,5.57235,2.02122,0.000544553,0.000544553,0.000544553
2,19.1273,1.38219,1.78941,1.6711,0.08378,0.05991,0.02744,0.01038,3.19306,5.65541,3.36131,0.00107844,0.00107844,0.00107844
3,27.1519,1.4393,1.80771,1.71444,0.17791,0.26728,0.11554,0.04333,2.31542,22.191,3.33876,0.00159031,0.00159031,0.00159031
4,35.1934,1.46508,1.77948,1.72477,0.30202,0.25806,0.20997,0.10152,1.94347,5.65863,2.24456,0.00156798,0.00156798,0.00156798
5,43.3187,1.41696,1.65393,1.68869,0.44164,0.20737,0.21563,0.12201,2.44439,2.57283,2.70957,0.00153497,0.00153497,0.00153497
6,51.3659,1.34625,1.63672,1.64062,0.6144,0.64516,0.64903,0.40923,1.13771,3.31983,1.54363,0.00150197,0.00150197,0.00150197
7,59.6931,1.31722,1.49886,1.62423,0.43942,0.34562,0.34845,0.15524,1.85409,3.20515,2.2562,0.00146896,0.00146896,0.00146896
8,67.8696,1.27748,1.5087,1.58922,0.72454,0.65899,0.71588,0.4329,1.19252,1.82616,1.53101,0.00143595,0.00143595,0.00143595
9,76.4004,1.22438,1.42816,1.55159,0.68385,0.63797,0.69648,0.43722,1.18662,1.50596,1.52833,0.00140295,0.00140295,0.00140295
10,84.6554,1.21536,1.43968,1.5354,0.64495,0.59908,0.63943,0.43225,1.15523,2.03383,1.49961,0.00136994,0.00136994,0.00136994
11,92.633,1.21895,1.40693,1.53139,0.57124,0.58525,0.56377,0.36348,1.48723,1.3323,1.68911,0.00133693,0.00133693,0.00133693
12,100.622,1.16951,1.41314,1.50187,0.71112,0.63594,0.69201,0.44732,1.29152,1.52255,1.5968,0.00130393,0.00130393,0.00130393
13,108.766,1.16205,1.31361,1.48468,0.77112,0.74523,0.79167,0.54364,1.11498,1.03866,1.42952,0.00127092,0.00127092,0.00127092
14,116.911,1.08963,1.24797,1.46177,0.76967,0.81617,0.83689,0.61521,0.90859,1.0234,1.30448,0.00123791,0.00123791,0.00123791
15,125.157,1.07934,1.2162,1.43076,0.84935,0.69585,0.81767,0.5631,1.02593,1.07131,1.39788,0.00120491,0.00120491,0.00120491
16,133.271,1.1155,1.28173,1.47615,0.82156,0.74259,0.83501,0.58918,0.98799,1.13037,1.36676,0.0011719,0.0011719,0.0011719
17,141.559,1.10815,1.23292,1.44594,0.8648,0.7664,0.84449,0.58902,0.95438,0.96264,1.31548,0.00113889,0.00113889,0.00113889
18,149.547,1.0498,1.16652,1.40037,0.79753,0.81106,0.86186,0.62881,0.95801,0.89994,1.34718,0.00110589,0.00110589,0.00110589
19,157.827,1.02533,1.15609,1.40276,0.8592,0.75929,0.86,0.62964,0.93833,0.95349,1.3242,0.00107288,0.00107288,0.00107288
20,166.009,1.01156,1.11763,1.38698,0.79662,0.79263,0.85051,0.62813,0.9768,1.07843,1.35188,0.00103987,0.00103987,0.00103987
21,173.958,1.00395,1.09866,1.38982,0.8128,0.78341,0.85369,0.63839,0.89655,0.90395,1.2909,0.00100687,0.00100687,0.00100687
22,182.192,0.99682,1.05984,1.37307,0.82997,0.85481,0.88378,0.66322,0.88533,0.844,1.265,0.000973861,0.000973861,0.000973861
23,190.309,1.01823,1.04254,1.3878,0.8388,0.81532,0.86755,0.64099,0.92744,0.8297,1.30888,0.000940855,0.000940855,0.000940855
24,198.603,0.97639,1.04831,1.35829,0.77988,0.80004,0.86909,0.64535,0.91221,0.84176,1.29723,0.000907848,0.000907848,0.000907848
25,206.599,0.94563,1.00498,1.35042,0.82945,0.8341,0.85241,0.62392,0.9188,0.8119,1.32967,0.000874842,0.000874842,0.000874842
26,214.608,0.94407,0.99024,1.35232,0.80788,0.81391,0.85136,0.64977,0.89579,0.97833,1.30235,0.000841835,0.000841835,0.000841835
27,222.676,0.93861,1.00526,1.34911,0.88179,0.82499,0.90053,0.7035,0.82993,0.7457,1.23068,0.000808828,0.000808828,0.000808828
28,230.911,0.95038,0.9482,1.34362,0.85627,0.79616,0.88782,0.65814,0.88779,0.78283,1.27067,0.000775822,0.000775822,0.000775822
29,238.92,0.92681,0.99165,1.32452,0.85079,0.79724,0.86383,0.64012,0.95274,0.92246,1.32725,0.000742815,0.000742815,0.000742815
30,247.022,0.90355,0.91426,1.30915,0.81874,0.8341,0.88493,0.68333,0.79372,0.78303,1.21583,0.000709809,0.000709809,0.000709809
31,254.969,0.90911,0.94549,1.31455,0.86422,0.85714,0.88176,0.65208,0.9081,0.81128,1.29001,0.000676802,0.000676802,0.000676802
32,263.111,0.88924,0.94471,1.30684,0.85312,0.8565,0.90827,0.71457,0.78156,0.7019,1.20932,0.000643795,0.000643795,0.000643795
33,271.251,0.87317,0.89668,1.29598,0.90013,0.88479,0.91938,0.72127,0.78661,0.6719,1.203,0.000610789,0.000610789,0.000610789
34,279.393,0.88197,0.87462,1.30232,0.87414,0.86175,0.91723,0.73294,0.7854,0.68839,1.19097,0.000577782,0.000577782,0.000577782
35,287.623,0.85992,0.85997,1.27443,0.86076,0.86636,0.92271,0.72921,0.80189,0.67232,1.20229,0.000544776,0.000544776,0.000544776
36,295.717,0.85191,0.85377,1.29587,0.90319,0.81691,0.92008,0.73262,0.78199,0.66909,1.19603,0.000511769,0.000511769,0.000511769
37,303.861,0.84058,0.83708,1.27241,0.80783,0.87097,0.90083,0.7078,0.79553,0.68467,1.20678,0.000478762,0.000478762,0.000478762
38,311.925,0.83498,0.82334,1.26301,0.89845,0.88479,0.93973,0.74294,0.7388,0.61499,1.17195,0.000445756,0.000445756,0.000445756
39,320.228,0.82794,0.83409,1.26674,0.89394,0.85456,0.92113,0.72561,0.77725,0.62395,1.22243,0.000412749,0.000412749,0.000412749
40,328.393,0.83017,0.81514,1.2647,0.88796,0.85714,0.91411,0.71348,0.77065,0.67726,1.19409,0.000379743,0.000379743,0.000379743
41,337.954,0.73798,0.72353,1.20674,0.89355,0.84793,0.91711,0.73377,0.74772,0.68238,1.18388,0.000346736,0.000346736,0.000346736
42,345.902,0.70322,0.6215,1.17143,0.92202,0.84793,0.93047,0.74775,0.75578,0.61033,1.16188,0.000313729,0.000313729,0.000313729
43,353.918,0.69534,0.60391,1.16855,0.89488,0.86636,0.91829,0.73852,0.73135,0.62313,1.16575,0.000280723,0.000280723,0.000280723
44,361.895,0.72092,0.60997,1.19525,0.95241,0.83871,0.93116,0.75469,0.71709,0.58623,1.15658,0.000247716,0.000247716,0.000247716
45,370.056,0.67487,0.58592,1.15733,0.91481,0.84127,0.92245,0.74524,0.72996,0.5617,1.19229,0.00021471,0.00021471,0.00021471
46,378.076,0.70238,0.60048,1.19095,0.9224,0.87637,0.93562,0.75929,0.71903,0.54975,1.16705,0.000181703,0.000181703,0.000181703
47,386.215,0.63896,0.53985,1.14029,0.90244,0.90323,0.9365,0.76503,0.73252,0.54194,1.16863,0.000148696,0.000148696,0.000148696
48,394.712,0.63148,0.53112,1.1346,0.92686,0.88479,0.93843,0.76868,0.69789,0.53396,1.15055,0.00011569,0.00011569,0.00011569
49,402.799,0.61857,0.4978,1.11717,0.92212,0.87305,0.93688,0.77648,0.68321,0.53224,1.13785,8.26832e-05,8.26832e-05,8.26832e-05
50,410.949,0.59229,0.49861,1.08749,0.90728,0.88479,0.93281,0.77785,0.68251,0.52791,1.13379,4.96766e-05,4.96766e-05,4.96766e-05
